id	output
"bafkreiac542ss75hoodqhgmmbshjzk3nxb4iqax5q2vfpij34ea73llsdq"	{"roof_date": null}
"bafkreialz7ks3ua6at23shrqiadfl3r62klabeittlet6dqbig5xndvmeq"	{"roof_date": null}
"bafkreihayq2s3xiwkghs66ngqi3kixfxhqwg62ywhzfomuihmxdmgxhgjy"	{"roof_date": null}
"bafkreifq5koxudlmgt7fbaakwmrg3in4rk65faok2r6ny624hnerqqoaui"	{"roof_date": null}
"bafkreihjlnsubdipi4dynwqmhnjx34tokymhgm6c2aasngjnvie2hcwq4u"	{"roof_date": null}
"bafkreidudglhmhtltgosaczhywgau7ux3tikks5gnqs3muatj52ayy7fc4"	{"roof_date": "2025-04-08"}
"bafkreibirnzeoiehb2vsqme7did6hofkguqwe337xpw3nz2t6ynzj65qke"	{"roof_date": "2018-06-21"}
"bafkreiclji7cl2hxb5g63eeuzn2wrnoxilpucdm7tpnznrolouj2yxb3ui"	{"roof_date": null}
"bafkreifqot654i73r465q7k76e6hjmbocde6yp2visiqk3mbfu4iuujp3y"	{"roof_date": null}
"bafkreifnq7mvukxdhzxq5auaxf5vcvbxnsqpr7xjxqclcbjcdjocxcxuji"	{"roof_date": "2023-03-03"}
"bafkreih5hvvhgncr6hmmxqntut5qkop5thmrdevir7bjwg64ibutnp2vlm"	{"roof_date": null}
"bafkreib4rxllpwi7scfolq42bycq424juvtv6trsnwxmcdj4vwoe7elzia"	{"roof_date": null}
"bafkreiftdbm3nekp5wy7lrmh23ojd3xdnzngx7kvnfhw7q64r4m3e47gza"	{"roof_date": null}
"bafkreig5ly6diswe67l7waligqagfn4i2bzzj6jfm656oglti224d5csf4"	{"roof_date": "2023-05-09"}
"bafkreidbxrn4tccgnqbeznzij74lzyenxyrgln2khohcp3oexj63kaz4jm"	{"roof_date": null}
"bafkreidkb35svjdpqqovhksbwdluut2oxpegcvlhcu7wae3lksuj7icjxe"	{"roof_date": null}
"bafkreiebrtfa5nqts7zi6xemqooaxtfgo6yogiqnk5zzwcdq2evj6rk75y"	{"roof_date": null}
"bafkreien2kage2u2q272xzf2qbquuwwsoi2o5lumloh3dssghgm6jz4m2e"	{"roof_date": "2021-03-05"}
"bafkreidbhbd2uualjbd7fzbiijg2qskujfnz2t57r5f5auj2epih2drukq"	{"roof_date": null}
"bafkreifi6kf6hxog5objzvnuhw5qff2uz2d36afz4wnj2xu3hefvgz4vry"	{"roof_date": "2024-04-11"}
"bafkreigfnnosbwpayadg7uqd4nkksfbjlpephzkrsmmcl7h7zv4mahbo6u"	{"roof_date": "2023-04-26"}
"bafkreibh7h6jq3yworegsynsjm75luygthtsrrznfaid7uolqqnpjuhndm"	{"roof_date": "2022-07-21"}
"bafkreibl2laftq2q4tbj4p34dg4galkhxu2xuzi6pvoqgu4vslixptxu5u"	{"roof_date": null}
"bafkreibhxoympxtqvuzbv52rdzzqg7t4dbbdeki5t33fubjdkgdtt27p7y"	{"roof_date": null}
"bafkreigrjiaz42yweo3ph3ibr3gluqf4vuyzbibgh7zhftqolcz2jadwg4"	{"roof_date": null}
"bafkreidamropd4xmon7rfz5lofjnsnxgntivgy2ln7efn6bgtd3vezqmnq"	{"roof_date": "2025-06-30"}
"bafkreif6yl2wybazmm6qpld7jlqfbrwvmovj3cbzbjmwhwcgvxrbnx3ve4"	{"roof_date": null}
"bafkreihy7umxdd3v3pswmfsehnzrplzfcqsu7qdbucpkk6pq2nywwbgi6a"	{"roof_date": null}
"bafkreid6pspq72szhkyl5wxc2vnhchckbms22iove2qgqhko5hefzay3pi"	{"roof_date": null}
"bafkreihc3jyjmcvrxvehjbh3inrg5mddgzkgz6adt7lmisc67hddrke2om"	{"roof_date": null}
"bafkreibxe47ykgmssrtlostlkcgaggadfneaef42ceapj3w34bx4zzbpdy"	{"roof_date": null}
"bafkreidaw7cstdtmqaaq2rxggc2627nyiwdpeu4zt5pwf7nddqwyk2m4xm"	{"roof_date": null}
"bafkreib642py63mhxif62cjaaizeavvuiuwlso6g4fcqubjiiznrl5cv2q"	{"roof_date": null}
"bafkreia6g6r25htdsokecvs3gae33haz6kvzsxnheuwyhx7lk7pfoty2a4"	{"roof_date": null}
"bafkreiehdvnzt5w6hggvhbvdkziczzkisoph5og6jiswf4s4p72heef4eq"	{"roof_date": null}
"bafkreifzzwkfwdtbge7ulgihnraxc5q6kypnxrmqsjsf7itku6go7bzubq"	{"roof_date": null}
